Time,Celsius,Fahrenheit,Humidity,Pressure,Dewpoint
[(datetime.datetime(2017, 10, 16, 21, 5, 16, 179625), 33.8, 92.8, 31.0, 1013.0, 14.3)]
2017-10-17 00:02:37.190810,34.9,94.8,31.0,1014.2,15.3
2017-10-17 00:18:34.676107,33.1,91.6,32.4,1014.1,14.4
2017-10-17 00:21:37.726418,33.3,91.9,32.6,1014.1,14.7
2017-10-17 00:24:41.780500,33.3,91.9,32.8,1014.1,14.8
2017-10-17 00:27:45.951694,33.3,91.9,31.9,1014.1,14.3
2017-10-17 00:30:48.996499,33.3,91.9,32.1,1014.0,14.4
2017-10-17 00:33:53.067589,33.3,91.9,31.8,1014.0,14.3
2017-10-17 00:36:57.125649,33.4,92.1,31.8,1014.0,14.4
2017-10-17 00:40:01.181718,33.4,92.1,30.7,1013.9,13.8
2017-10-17 00:43:06.345653,33.2,91.8,33.1,1013.9,14.8
2017-10-17 00:46:10.451494,33.5,92.3,31.5,1013.9,14.3
2017-10-17 00:49:15.480060,33.5,92.3,32.5,1014.0,14.8
2017-10-17 00:52:21.556827,33.4,92.1,31.5,1014.0,14.2
2017-10-17 00:55:25.623971,33.5,92.3,30.9,1014.0,14.0
2017-10-17 00:58:31.894089,33.5,92.3,31.7,1014.1,14.4
2017-10-17 01:01:35.956394,33.4,92.1,31.7,1014.0,14.3
2017-10-17 01:04:40.246444,33.4,92.1,32.9,1014.0,14.9
2017-10-17 01:06:27.569240,33.5,92.3,31.7,1014.0,14.4
2017-10-17 01:09:32.632991,33.5,92.3,31.3,1014.1,14.2
2017-10-17 01:12:36.656288,33.4,92.1,31.3,1014.0,14.1
2017-10-17 01:15:39.600152,33.5,92.3,31.4,1014.0,14.3
2017-10-17 01:18:44.692584,33.5,92.3,31.8,1014.1,14.5
2017-10-17 01:22:41.639196,33.6,92.5,29.3,1014.0,13.3
2017-10-17 01:28:29.330003,33.5,92.3,31.5,1014.0,14.3
2017-10-17 18:31:43.699479,34.3,93.7,29.7,1012.0,14.1
2017-10-17 18:34:48.868739,34.4,93.9,34.3,1012.0,16.4
2017-10-17 18:37:54.847347,34.4,93.9,34.5,1012.0,16.5
2017-10-17 18:41:01.272454,34.6,94.3,34.3,1012.0,16.6
2017-10-17 18:44:07.324304,34.9,94.8,34.5,1012.1,16.9
2017-10-17 18:47:11.654865,35.2,95.4,33.6,1012.1,16.8
2017-10-17 18:50:16.721797,35.1,95.2,34.6,1012.1,17.2
2017-10-17 18:53:20.516270,35.0,95.0,34.3,1012.1,16.9
2017-10-17 18:56:25.543436,34.9,94.8,33.9,1012.2,16.7
2017-10-17 18:59:31.680856,34.9,94.8,34.0,1012.2,16.7
2017-10-17 19:02:37.449503,34.8,94.6,34.4,1012.2,16.8
2017-10-17 19:05:43.499778,34.8,94.6,34.0,1012.3,16.6
2017-10-17 19:08:49.541810,34.7,94.5,33.6,1012.3,16.4
2017-10-17 19:11:55.566988,34.7,94.5,33.5,1012.3,16.3
2017-10-17 19:15:01.712942,34.8,94.6,33.4,1012.3,16.4
2017-10-17 19:18:07.834571,34.8,94.6,33.3,1012.4,16.3
2017-10-17 19:21:13.877176,34.6,94.3,31.9,1012.4,15.5
2017-10-17 19:24:18.894393,34.8,94.6,33.3,1012.4,16.3
2017-10-17 19:27:24.998208,34.9,94.8,35.7,1012.4,17.5
2017-10-17 19:30:31.042748,34.6,94.3,33.5,1012.4,16.2
2017-10-17 19:33:37.061569,34.4,93.9,33.5,1012.4,16.0
2017-10-17 19:36:43.132455,34.2,93.6,33.9,1012.5,16.1
2017-10-17 19:39:47.865405,34.2,93.6,33.9,1012.5,16.1
2017-10-17 19:42:52.888866,33.8,92.8,34.8,1012.5,16.1
2017-10-17 19:45:57.855740,33.9,93.0,35.5,1012.6,16.5
2017-10-17 19:49:03.841435,34.1,93.4,33.6,1012.6,15.8
2017-10-17 19:52:08.904595,34.2,93.6,33.6,1012.4,15.9
2017-10-17 19:55:14.917257,34.1,93.4,33.3,1012.4,15.7
2017-10-17 19:58:19.976506,33.9,93.0,33.9,1012.4,15.8
2017-10-17 20:01:25.972063,34.0,93.2,33.1,1012.3,15.5
2017-10-17 20:04:30.972965,33.9,93.0,33.7,1012.3,15.7
2017-10-17 20:07:37.026872,33.8,92.8,33.1,1012.2,15.3
2017-10-17 20:10:42.234540,33.7,92.7,33.6,1012.2,15.5
2017-10-17 20:13:48.324620,33.9,93.0,32.6,1012.3,15.2
2017-10-17 20:16:54.513106,33.8,92.8,34.0,1012.3,15.8
2017-10-17 20:20:00.450668,33.9,93.0,33.2,1012.3,15.5
2017-10-17 20:23:06.580935,34.0,93.2,33.4,1012.3,15.7
2017-10-17 20:26:12.782980,34.0,93.2,32.9,1012.3,15.4
2017-10-17 20:29:18.881463,34.0,93.2,32.1,1012.4,15.0
2017-10-17 20:32:23.956496,34.0,93.2,33.3,1012.3,15.6
2017-10-17 20:35:30.026525,34.1,93.4,32.8,1012.3,15.5
2017-10-17 20:38:35.173051,33.8,92.8,33.2,1012.3,15.4
2017-10-17 20:41:41.253665,34.0,93.2,33.0,1012.2,15.5
2017-10-17 20:44:47.362549,34.0,93.2,33.1,1012.3,15.5
2017-10-17 20:47:52.476286,33.9,93.0,33.1,1012.4,15.4
2017-10-17 20:50:57.501844,33.9,93.0,33.4,1012.4,15.6
2017-10-17 20:54:03.638804,33.7,92.7,32.5,1012.3,15.0
2017-10-17 20:57:09.635296,33.6,92.5,33.5,1012.3,15.4
2017-10-17 21:00:15.632744,33.8,92.8,33.4,1012.2,15.5
2017-10-17 21:03:21.608910,33.8,92.8,33.2,1012.3,15.4
2017-10-17 21:06:27.684295,33.8,92.8,33.3,1012.3,15.4
2017-10-17 21:09:33.760317,33.8,92.8,33.0,1012.3,15.3
2017-10-17 21:12:39.738956,33.8,92.8,33.3,1012.3,15.4
2017-10-17 21:15:45.821080,33.9,93.0,33.3,1012.3,15.5
2017-10-17 21:18:51.901963,33.8,92.8,31.6,1012.3,14.6
2017-10-17 21:21:56.933166,33.9,93.0,34.0,1012.2,15.8
2017-10-17 21:25:02.858253,33.9,93.0,33.4,1012.3,15.6
2017-10-17 21:28:08.861838,33.6,92.5,33.3,1012.4,15.3
2017-10-17 21:31:14.846885,33.5,92.3,33.5,1012.5,15.3
2017-10-17 21:34:20.948863,33.2,91.8,34.2,1012.4,15.3
2017-10-17 21:37:26.028812,33.0,91.4,34.3,1012.4,15.2
2017-10-17 21:40:30.976783,33.0,91.4,34.4,1012.4,15.2
2017-10-17 21:43:35.951605,33.0,91.4,34.3,1012.3,15.2
2017-10-17 21:46:40.886849,33.0,91.4,34.6,1012.4,15.3
2017-10-17 21:49:45.878458,32.8,91.0,34.2,1012.4,15.0
2017-10-17 21:52:50.910106,32.8,91.0,34.6,1012.4,15.2
2017-10-17 21:55:55.907149,32.8,91.0,34.4,1012.5,15.1
2017-10-17 21:58:59.967270,32.7,90.9,34.1,1012.6,14.8
2017-10-17 22:02:04.935638,32.8,91.0,33.7,1012.6,14.7
2017-10-17 22:05:09.979059,32.6,90.7,34.5,1012.7,14.9
2017-10-17 22:08:15.991038,32.8,91.0,34.5,1012.7,15.1
2017-10-17 22:11:19.922973,32.7,90.9,34.6,1012.7,15.1
2017-10-17 22:14:24.902711,32.6,90.7,33.4,1012.7,14.4
2017-10-17 22:17:30.899795,32.6,90.7,34.6,1012.7,15.0
2017-10-17 22:20:36.999142,32.7,90.9,34.4,1012.6,15.0
2017-10-17 22:23:43.105572,32.5,90.5,34.6,1012.6,14.9
2017-10-17 22:26:49.184198,32.4,90.3,34.4,1012.6,14.7
2017-10-17 22:29:55.238797,32.4,90.3,34.7,1012.6,14.8
2017-10-17 22:33:01.295471,32.3,90.1,34.5,1012.6,14.7
2017-10-17 22:36:06.364561,32.4,90.3,34.7,1012.6,14.8
2017-10-17 22:39:12.430549,32.3,90.1,35.0,1012.7,14.9
2017-10-17 22:42:17.441369,32.4,90.3,34.7,1012.8,14.8
2017-10-17 22:45:23.506276,32.4,90.3,34.7,1012.7,14.8
2017-10-17 22:48:29.669949,32.3,90.1,34.7,1012.7,14.8
2017-10-17 22:51:34.879009,32.3,90.1,34.9,1012.7,14.9
2017-10-17 22:54:39.923515,32.3,90.1,35.1,1012.7,14.9
2017-10-17 22:57:43.912339,32.3,90.1,34.8,1012.6,14.8
2017-10-17 23:00:48.920701,32.4,90.3,34.2,1012.6,14.6
2017-10-17 23:03:54.927410,32.3,90.1,33.7,1012.6,14.3
2017-10-17 23:07:00.028169,32.3,90.1,37.2,1012.5,15.8
2017-10-17 23:10:05.091136,32.2,90.0,35.0,1012.5,14.8
2017-10-17 23:13:11.179533,32.2,90.0,34.9,1012.5,14.8
2017-10-17 23:16:17.252771,32.2,90.0,35.2,1012.5,14.9
2017-10-17 23:19:23.238960,32.2,90.0,34.6,1012.4,14.6
2017-10-17 23:22:29.327830,32.0,89.6,35.0,1012.4,14.6
2017-10-17 23:25:35.417111,32.1,89.8,34.8,1012.4,14.6
2017-10-17 23:28:40.388844,32.1,89.8,34.9,1012.4,14.7
2017-10-17 23:31:45.494194,32.1,89.8,37.8,1012.5,15.9
2017-10-17 23:34:50.553256,32.2,90.0,35.0,1012.5,14.8
2017-10-17 23:37:56.674340,32.0,89.6,35.0,1012.4,14.6
2017-10-17 23:41:02.699150,32.0,89.6,35.1,1012.4,14.7
2017-10-17 23:44:07.695389,32.0,89.6,34.9,1012.3,14.6
2017-10-17 23:47:13.890310,32.0,89.6,34.9,1012.3,14.6
2017-10-17 23:50:19.919919,31.9,89.4,35.0,1012.3,14.5
2017-10-17 23:53:24.847442,31.9,89.4,36.2,1012.2,15.1
2017-10-17 23:56:28.801251,32.0,89.6,34.7,1012.2,14.5
2017-10-17 23:59:34.905119,31.9,89.4,37.0,1012.2,15.4
2017-10-18 00:02:39.999080,31.9,89.4,35.3,1012.2,14.7
2017-10-18 00:05:44.980070,31.9,89.4,34.8,1012.1,14.5
2017-10-18 00:08:49.059032,31.8,89.2,35.4,1012.1,14.6
2017-10-18 00:11:52.950930,31.9,89.4,33.9,1012.1,14.0
2017-10-18 00:14:56.940412,31.9,89.4,34.6,1012.1,14.4
2017-10-18 00:18:00.956782,31.9,89.4,35.3,1012.2,14.7
2017-10-18 00:21:05.978841,31.7,89.1,35.1,1012.1,14.4
2017-10-18 00:24:07.930499,31.7,89.1,35.4,1012.2,14.5
2017-10-18 00:27:11.836213,31.9,89.4,34.6,1012.3,14.4
2017-10-18 00:30:16.790704,31.7,89.1,34.6,1012.2,14.2
2017-10-18 00:33:20.779444,31.8,89.2,35.1,1012.2,14.5
2017-10-18 00:36:24.673196,31.8,89.2,34.9,1012.3,14.4
2017-10-18 00:39:29.704858,31.6,88.9,34.9,1012.4,14.2
2017-10-18 00:42:34.683912,31.7,89.1,35.2,1012.4,14.5
2017-10-18 00:45:38.171529,31.7,89.1,35.1,1012.4,14.4
2017-10-18 00:48:40.623011,31.8,89.2,35.1,1012.3,14.5
2017-10-18 00:51:44.694786,31.8,89.2,35.1,1012.3,14.5
2017-10-18 00:54:48.597444,31.7,89.1,35.2,1012.3,14.5
2017-10-18 00:57:52.472977,31.7,89.1,35.1,1012.2,14.4
2017-10-18 01:00:55.171797,31.7,89.1,35.4,1012.1,14.5
2017-10-18 01:03:58.118066,31.6,88.9,34.7,1012.1,14.1
2017-10-18 01:07:01.018092,31.4,88.5,35.1,1012.2,14.1
2017-10-18 01:10:03.898287,31.4,88.5,35.0,1012.2,14.1
2017-10-18 01:13:07.800384,31.5,88.7,35.2,1012.2,14.3
2017-10-18 01:16:12.777343,31.4,88.5,34.8,1012.2,14.0
2017-10-18 01:19:17.959048,31.5,88.7,35.2,1012.2,14.3
2017-10-18 01:22:22.976344,31.4,88.5,34.9,1012.2,14.1
2017-10-18 01:25:27.115337,31.5,88.7,34.8,1012.1,14.1
2017-10-18 01:28:29.992558,31.4,88.5,35.2,1012.1,14.2
2017-10-18 01:31:33.982114,31.4,88.5,33.0,1012.2,13.2
2017-10-18 01:34:39.014793,31.4,88.5,36.1,1012.2,14.6
2017-10-18 01:37:43.025147,31.2,88.2,35.3,1012.2,14.1
2017-10-18 01:40:47.094651,31.3,88.3,34.9,1012.2,14.0
2017-10-18 01:43:52.107311,31.3,88.3,34.7,1012.2,13.9
2017-10-18 01:46:57.115581,31.3,88.3,35.3,1012.2,14.1
2017-10-18 01:50:01.092243,31.3,88.3,34.9,1012.2,14.0
2017-10-18 01:53:06.100476,31.4,88.5,35.3,1012.2,14.2
2017-10-18 01:56:11.057616,31.1,88.0,35.4,1012.2,14.0
2017-10-18 01:59:14.960568,31.3,88.3,35.6,1012.1,14.3
2017-10-18 02:02:18.964327,31.4,88.5,34.9,1012.0,14.1
2017-10-18 02:05:22.950222,31.3,88.3,35.0,1012.0,14.0
2017-10-18 02:08:27.876841,31.3,88.3,35.0,1012.0,14.0
2017-10-18 02:11:32.937747,31.3,88.3,35.0,1012.0,14.0
2017-10-18 02:14:37.920999,31.4,88.5,34.8,1012.0,14.0
2017-10-18 02:17:42.899293,31.3,88.3,33.8,1012.0,13.5
2017-10-18 02:20:48.000478,31.3,88.3,35.1,1012.0,14.1
2017-10-18 02:23:50.999305,31.3,88.3,34.9,1012.0,14.0
2017-10-18 02:26:56.028042,31.1,88.0,33.9,1012.0,13.4
2017-10-18 02:29:59.870381,31.1,88.0,35.1,1012.1,13.9
2017-10-18 02:33:01.683904,30.9,87.6,35.0,1012.0,13.7
2017-10-18 02:36:07.724335,31.1,88.0,35.1,1011.9,13.9
2017-10-18 02:39:09.593181,31.1,88.0,35.1,1011.9,13.9
2017-10-18 02:42:11.461562,31.0,87.8,35.4,1011.9,13.9
2017-10-18 02:45:15.439574,31.0,87.8,35.4,1012.0,13.9
2017-10-18 02:48:20.460336,31.0,87.8,35.9,1011.9,14.1
2017-10-18 02:51:23.454171,31.0,87.8,35.4,1012.1,13.9
2017-10-18 02:54:27.450205,31.0,87.8,35.0,1012.1,13.8
2017-10-18 02:57:31.381888,30.9,87.6,34.9,1012.0,13.6
2017-10-18 03:00:37.199345,31.1,88.0,34.9,1012.1,13.8
2017-10-18 03:03:40.180513,31.0,87.8,34.7,1012.0,13.6
2017-10-18 03:06:45.286105,30.9,87.6,32.8,1012.0,12.7
2017-10-18 03:09:51.371743,31.0,87.8,35.1,1012.0,13.8
2017-10-18 03:12:55.260610,31.0,87.8,34.9,1012.1,13.7
2017-10-18 03:15:59.187780,31.1,88.0,36.2,1012.0,14.4
2017-10-18 03:19:03.089585,31.0,87.8,35.2,1012.1,13.8
2017-10-18 03:22:07.100708,30.9,87.6,35.0,1012.1,13.7
2017-10-18 03:25:12.200129,30.7,87.3,35.0,1012.0,13.5
2017-10-18 03:28:18.315977,30.7,87.3,35.4,1012.0,13.7
2017-10-18 03:31:24.496643,30.9,87.6,35.3,1012.0,13.8
2017-10-18 03:34:30.465474,30.7,87.3,35.2,1012.0,13.6
2017-10-18 03:37:36.512546,30.7,87.3,34.5,1011.9,13.3
2017-10-18 03:40:41.421405,30.7,87.3,35.2,1011.9,13.6
2017-10-18 03:43:46.509395,30.7,87.3,35.0,1011.9,13.5
2017-10-18 03:46:51.510518,30.7,87.3,33.6,1011.9,12.9
2017-10-18 03:49:56.592262,30.7,87.3,36.2,1011.9,14.0
2017-10-18 03:53:01.694722,30.7,87.3,35.0,1011.8,13.5
2017-10-18 03:56:06.699703,30.6,87.1,34.8,1011.7,13.3
2017-10-18 03:59:10.770282,30.6,87.1,34.9,1011.7,13.4
2017-10-18 04:02:14.781273,30.8,87.4,34.6,1011.8,13.4
2017-10-18 04:05:19.848885,30.6,87.1,34.8,1011.7,13.3
2017-10-18 04:08:23.904554,30.7,87.3,34.9,1011.7,13.4
2017-10-18 04:11:28.903752,30.8,87.4,35.2,1011.7,13.7
2017-10-18 04:14:33.917154,30.7,87.3,35.1,1011.7,13.5
2017-10-18 04:17:37.830657,30.5,86.9,34.6,1011.7,13.1
2017-10-18 04:20:41.861838,30.6,87.1,35.0,1011.7,13.4
2017-10-18 04:23:45.818360,30.7,87.3,34.2,1011.7,13.1
2017-10-18 04:26:49.729714,30.7,87.3,35.8,1011.7,13.8
2017-10-18 04:29:54.717233,30.5,86.9,33.0,1011.8,12.4
2017-10-18 04:32:59.704136,30.5,86.9,34.8,1011.7,13.2
2017-10-18 04:36:04.631867,30.5,86.9,38.0,1011.7,14.6
2017-10-18 04:39:09.680280,30.5,86.9,35.0,1011.8,13.3
2017-10-18 04:42:14.721790,30.5,86.9,35.1,1011.7,13.4
2017-10-18 04:45:18.689744,30.5,86.9,34.0,1011.7,12.9
2017-10-18 04:48:23.741348,30.6,87.1,34.8,1011.7,13.3
2017-10-18 04:51:27.683460,30.5,86.9,34.9,1011.7,13.3
2017-10-18 04:54:32.658170,30.5,86.9,34.6,1011.6,13.1
2017-10-18 04:57:36.649322,30.5,86.9,34.7,1011.7,13.2
2017-10-18 05:00:41.658813,30.5,86.9,35.0,1011.7,13.3
2017-10-18 05:03:46.652250,30.4,86.7,35.8,1011.7,13.6
2017-10-18 05:06:51.773702,30.5,86.9,34.6,1011.6,13.1
2017-10-18 05:09:55.763251,30.5,86.9,34.8,1011.6,13.2
2017-10-18 05:13:00.740768,30.4,86.7,34.8,1011.7,13.1
2017-10-18 05:16:04.601000,30.4,86.7,35.0,1011.6,13.2
2017-10-18 05:19:09.571006,30.2,86.4,34.8,1011.6,13.0
2017-10-18 05:22:14.519538,30.3,86.5,33.9,1011.6,12.7
2017-10-18 05:25:19.580213,30.2,86.4,35.4,1011.6,13.2
2017-10-18 05:28:24.757992,30.2,86.4,34.7,1011.7,12.9
